"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"2","0.003289","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"3","0.006556","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"4","0.009841","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"5","0.013110","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"6","0.016373","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"7","0.019647","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"8","0.022943","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"9","0.026238","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"10","0.029494","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"11","0.032770","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"12","0.036065","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"13","0.039320","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"14","0.042587","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"15","0.045861","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"16","0.049148","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"17","0.052423","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"18","0.055718","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"19","0.059014","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"20","0.060196","fe80::c30c:0:0:6","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"21","0.062279","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"22","0.063485","fe80::c30c:0:0:6","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"23","0.065536","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"24","0.066752","fe80::c30c:0:0:6","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"25","0.068801","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"26","0.070037","fe80::c30c:0:0:6","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"27","0.072077","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"28","0.073306","fe80::c30c:0:0:6","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"29","0.075372","fe80::c30c:0:0:d","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
